"CampaignID"|"CampaignName"|"CampaignYear"|"CampaignHealthConditionID"|"CampaignStartDate"|"CampaignEndDate"|"isActiveFlag"|"CrossixRxcategory"|"CrossixRank"
"1"|"Abilify"|"2013"|"6"|"20130101"|"20130930"|"N"|"DEPRESSION"|""
"6"|"Daytrana"|"2013"|"-1"|"20130414"|"20131231"|"N"|""|""
"9"|"EpiPen"|"2013"|"45"|"20130529"|"20131231"|"N"|"ALLERGIES"|""
"10"|"Gilenya"|"2013"|"106"|"20130107"|"20131231"|"N"|"MULTIPLE SCLEROSIS"|""
"11"|"Humira"|"2013"|"-1"|"20130102"|"20131231"|"N"|""|""
"12"|"Lantus"|"2013"|"137"|"20130410"|"20131231"|"N"|"DIABETES"|""
"16"|"Pradaxa"|"2013"|"296"|"20130106"|"20131231"|"N"|"HEART HEALTH"|""
"18"|"Seroquel"|"2013"|"6"|"20130103"|"20131231"|"N"|"DEPRESSION"|""
"19"|"Spiriva"|"2013"|"207"|"20130107"|"20131231"|"N"|"COPD"|""
"20"|"Symbicort"|"2013"|"1"|"20130116"|"20131231"|"N"|"ALLERGIES"|""
"21"|"Synthroid"|"2013"|"261"|"20130102"|"20131231"|"N"|"HYPOTHYROIDISM"|""
"27"|"Epipen"|"2014"|"45"|"20140101"|"20141231"|"N"|"ALLERGIES"|""
"28"|"Humira AS"|"2014"|"-1"|"20140102"|"20141231"|"N"|"ANKYLOSING SPONDYLITIS"|""
"29"|"Pradaxa"|"2014"|"296"|"20140101"|"20141231"|"N"|"HEART HEALTH"|""
"30"|"Humira Crohn's"|"2014"|"10"|"20140102"|"20141231"|"N"|"DIGESTIVE HEALTH"|""
"31"|"Abilify"|"2014"|"6"|"20131001"|"20141215"|"N"|"DEPRESSION"|""
"32"|"Lantus"|"2014"|"137"|"20140106"|"20140630"|"N"|"DIABETES"|""
"33"|"Creon"|"2014"|"64"|"20140102"|"20141231"|"N"|"DIGESTIVE HEALTH"|""
"34"|"Synthroid"|"2014"|"261"|"20140102"|"20141231"|"N"|"HYPOTHYROIDISM"|""
"35"|"Androgel"|"2014"|"298"|"20140102"|"20141231"|"N"|"LOW TESTOSTERONE"|""
"36"|"Tecfidera"|"2014"|"106"|"20140101"|"20141231"|"N"|"MULTIPLE SCLEROSIS"|""
"37"|"Gilenya"|"2014"|"106"|"20140101"|"20141231"|"N"|"MULTIPLE SCLEROSIS"|""
"38"|"Diclegis"|"1314"|"-1"|"20131014"|"20140331"|"N"|""|""
"39"|"Humira Derm"|"2014"|"40"|"20140102"|"20141231"|"N"|"PSORIASIS"|""
"40"|"Humira PSA"|"2014"|"288"|"20140102"|"20141231"|"N"|"PSORIATIC ARTHRITIS"|""
"41"|"Humira RA"|"2014"|"25"|"20140102"|"20141231"|"N"|"RHEUMATOID ARTHRITIS"|""
"42"|"Humira UC"|"2014"|"147"|"20140102"|"20141231"|"N"|"DIGESTIVE HEALTH"|""
"47"|"FlexPen"|"2013"|"2"|"20130301"|"20131231"|"N"|"DIABETES"|""
"48"|"Victoza"|"2013"|"137"|"20130901"|"20131231"|"N"|"DIABETES"|""
"49"|"Androgel"|"1213"|"71"|"20120101"|"20131231"|"N"|"LOW TESTOSTERONE"|""
"50"|"Aubagio"|"2013"|"106"|"20130822"|"20131231"|"N"|"MULTIPLE SCLEROSIS"|""
"54"|"Xarelto DVT"|"2013"|"87"|"20131015"|"20131231"|"N"|""|""
"57"|"Enbrel"|"2013"|"25"|"20131101"|"20131231"|"N"|""|""
"62"|"Xarelto Afib"|"2014"|"296"|"20140108"|"20141231"|"N"|"HEART HEALTH"|""
"63"|"Xarelto DVT"|"2014"|"-1"|"20140108"|"20141231"|"N"|"HEART HEALTH"|""
"64"|"Tysabri"|"2014"|"106"|"20140109"|"20141231"|"N"|"MULTIPLE SCLEROSIS"|""
"72"|"Invokana"|"2014"|"2"|"20140217"|"20141231"|"N"|"DIABETES"|""
"75"|"AUVI-Q"|"2014"|"45"|"20140415"|"20141231"|"N"|"ALLERGIES"|""
"76"|"BREO"|"2014"|"207"|"20140501"|"20140930"|"N"|"COPD"|""
"77"|"BYDUREON"|"1314"|"2"|"20131007"|"20140331"|"N"|"DIABETES"|""
"80"|"SOVALDI"|"2014"|"-1"|"20140512"|"20141231"|"N"|"HEPATITIS C"|""
"85"|"BYDUREON"|"1314"|"2"|"20140110"|"20140331"|"N"|""|""
"87"|"ABILIFY MAINTENA"|"2014"|"47"|"20140523"|"20141231"|"N"|"DEPRESSION"|""
"105"|"ORENCIA"|"1314"|"25"|"20130107"|"20141231"|"N"|"RHEUMATOID ARTHRITIS"|""
"106"|"BRINTELLIX"|"2014"|"6"|"20140915"|"20150331"|"N"|"DEPRESSION"|""
"107"|"FARXIGA"|"2014"|"2"|"20140915"|"20141231"|"N"|"DIABETES"|""
"109"|"SEROQUEL"|"2014"|"6"|"20140417"|"20141231"|"N"|"DEPRESSION"|""
"111"|"BYDUREON"|"1415"|"2"|"20141006"|"20141231"|"N"|"DIABETES"|""
"112"|"TRADJENTA"|"2014"|"137"|"20141105"|"20141231"|"N"|"DIABETES"|""
"113"|"JANUVIA"|"1415"|"137"|"20141118"|"20141231"|"N"|"DIABETES"|""
"114"|"JANUVIA LEADGEN"|"1415"|"137"|"20141118"|"20150407"|"N"|"DIABETES"|""
"118"|"ANDROGEL"|"2015"|"298"|"20150105"|"20151231"|"N"|"LOW TESTOSTERONE"|""
"119"|"GILENYA"|"2015"|"106"|"20150107"|"20151231"|"N"|"MULTIPLE SCLEROSIS"|""
"120"|"HUMIRA AS"|"2015"|"24"|"20150105"|"20151231"|"N"|"ANKYLOSING SPONDYLITIS"|""
"121"|"HUMIRA CROHN'S"|"2015"|"10"|"20150105"|"20151231"|"N"|"DIGESTIVE HEALTH"|""
"122"|"HUMIRA PsA"|"2015"|"288"|"20150105"|"20151231"|"N"|"PSORIATIC ARTHRITIS"|""
"123"|"HUMIRA RA"|"2015"|"25"|"20150105"|"20151231"|"N"|"RHEUMATOID ARTHRITIS"|""
"124"|"HUMIRA UC"|"2015"|"147"|"20150105"|"20151231"|"N"|"DIGESTIVE HEALTH"|""
"125"|"INVOKANA"|"2015"|"2"|"20150101"|"20151231"|"N"|"DIABETES"|""
"126"|"SOVALDI"|"2015"|"156"|"20150101"|"20150331"|"N"|"HEPATITIS C"|""
"127"|"SYNTHROID"|"2015"|"261"|"20150105"|"20151231"|"N"|"HYPOTHYROIDISM"|""
"128"|"TECFIDERA"|"2015"|"106"|"20141001"|"20151231"|"N"|"MULTIPLE SCLEROSIS"|""
"129"|"FARXIGA"|"2015"|"2"|"20150305"|"20151231"|"N"|"DIABETES"|""
"132"|"ABILIFY"|"2015"|"6"|"20150310"|"20150630"|"N"|"DEPRESSION"|""
"133"|"JARDIANCE"|"2015"|"2"|"20150316"|"20151231"|"N"|"DIABETES"|""
"134"|"TRADJENTA"|"2015"|"137"|"20150306"|"20151231"|"N"|"DIABETES"|""
"135"|"LANTUS MAKEGOOD"|"2014"|"137"|"20141125"|"20141231"|"N"|"DIABETES"|""
"136"|"AUVI-Q"|"2015"|"45"|"20150401"|"20150930"|"N"|"ALLERGIES"|""
"138"|"XOLAIR"|"2014"|"1"|"20140101"|"20140630"|"N"|"ALLERGIES"|""
"139"|"JUBLIA"|"2014"|"27"|"20140915"|"20141231"|"N"|""|""
"140"|"TECFIDERA CTRL"|"2015"|"106"|"20141001"|"20150415"|"N"|"MULTIPLE SCLEROSIS"|""
"141"|"BYDUREON LEADGEN"|"1415"|"2"|"20141216"|"20150501"|"N"|"DIABETES"|""
"159"|"HARVONI"|"2015"|"156"|"20150427"|"20151231"|"N"|"HEPATITIS C"|""
"160"|"BRISDELLE"|"2014"|"12"|"20140724"|"20141231"|"N"|""|""
"162"|"JANUVIA DIC APP"|"1415"|"2"|"20141118"|"20151231"|"N"|"DIABETES"|""
"165"|"XOLAIR"|"2015"|"1"|"20150622"|"20151231"|"N"|"ALLERGIES"|""
"166"|"STELARA"|"2015"|"40"|"20150810"|"20151231"|"N"|"PSORIASIS"|""
"167"|"LEVEMIR"|"2015"|"137"|"20150901"|"20151231"|"N"|"DIABETES"|""
"168"|"NOVOLOG"|"2015"|"137"|"20150831"|"20151231"|"N"|"DIABETES"|""
"169"|"TOUJEO"|"2015"|"2"|"20150717"|"20151231"|"N"|"DIABETES"|""
"170"|"VICTOZA"|"2015"|"137"|"20150831"|"20151231"|"N"|"DIABETES"|""
"171"|"AUBAGIO"|"2015"|"106"|"20150610"|"20150930"|"N"|"MULTIPLE SCLEROSIS"|""
"174"|"ABBVIE HCV LEADGEN"|"2014"|"156"|"20140528"|"20141231"|"N"|"HEPATITIS C"|""
"175"|"ALIROCUMAB LEADGEN"|"2015"|"29"|"20150505"|"20151115"|"N"|"HIGH CHOLESTEROL"|""
"176"|"TOUJEO LEADGEN"|"2015"|"2"|"20150101"|"20151231"|"N"|"DIABETES"|""
"177"|"NOVO LEADGEN"|"2015"|"2"|"20150923"|"20151231"|"N"|"DIABETES"|""
