"NewsletterID"|"UserID"|"SendDate"|"ClickDate"|"UrlID"|"ArticleType"|"EditorialContentType"|"Clicks"|"CampaignID"|"Zone"
"27"|"4437390"|"20170705"|"20170705"|"96111226"|""|""|"1"|"249"|"/cs/humiracrohns/ad3"
"26"|"61043479"|"20170702"|"20170705"|"96037421"|"Landing-None"|"Landing"|"1"|"244"|"/cs/invokana"
"27"|"23592609"|"20170705"|"20170705"|"96111226"|""|""|"1"|"249"|"/cs/humiracrohns/ad3"
"51"|"1321219"|"20170702"|"20170705"|"4012986"|""|""|"1"|"278"|"/cs/trulance"
"27"|"28049867"|"20170705"|"20170705"|"96111226"|""|""|"1"|"249"|"/cs/humiracrohns/ad3"
"26"|"57181152"|"20170703"|"20170705"|"4007209"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57181152"|"20170703"|"20170705"|"96071120"|"Lifestyle-Nutrition"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57183563"|"20170407"|"20170705"|"93797799"|"Landing-None"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57193635"|"20170704"|"20170705"|"4005789"|"Treatment"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57193635"|"20170704"|"20170705"|"96106075"|"Treatment"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57252599"|"20170705"|"20170705"|"4012804"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"57252599"|"20170705"|"20170705"|"96124895"|"Lifestyle-General"|"CuSo Article 3.0"|"1"|"240"|"/cs/farxiga"
"26"|"57367498"|"20170705"|"20170705"|"4010633"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57367498"|"20170705"|"20170705"|"96124923"|"Lifestyle-General"|"Landing"|"1"|"240"|"/cs/farxiga"
"26"|"57437065"|"20170701"|"20170705"|"4010631"|""|"Landing"|"1"|"240"|"/cs/farxiga"
