"UserID"|"CenterVisitDate"|"Zone"|"RefNLID"|"DeviceTypeID"|"TrafficSourceID"|"ContentTypeID"|"SiteCode"|"CleanPageName"|"ArticleType"|"EditorialContentType"|"SessionTimeSpent"|"VideoName"|"VideoPlayTime"|"CampaignID"|"PVCount"
"74468459"|"20170703"|"/cs/humirauc/ad1"|"92"|"5"|"2"|"10"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/beyond-gut-extraintestinal-symptoms"|"Condition Basics-Comborbidities"|"CuSo Article 3.0"|"0"|""|"0"|"252"|"1"
"74468459"|"20170703"|"/cs/humirauc/ad1"|"92"|"5"|"2"|"10"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/ease-ulcerative-colitis-symptoms-during-flare"|"Lifestyle-Symptom Management"|"CuSo Article 3.0"|"244"|""|"0"|"252"|"1"
"78954622"|"20170703"|"/cs/humirauc/ad1"|"-1"|"1"|"39"|"3"|"everydayhealth"|"www.everydayhealth.com/solutions/ulcerative-colitis-management-selector"|""|""|"51"|""|"0"|"252"|"1"
"78954622"|"20170703"|"/cs/humirauc/ad1"|"-1"|"1"|"39"|"3"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/ulcerative-colitis-symptoms-on-go-pictures"|"Lifestyle-Symptom Management"|"CuSo Slideshow"|"366"|""|"0"|"252"|"11"
"78954622"|"20170703"|"/cs/humirauc/ad1"|"-1"|"1"|"39"|"3"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/healthy-foods-pictures"|"Lifestyle-Nutrition"|"CuSo Slideshow"|"779"|""|"0"|"252"|"11"
"79288680"|"20170703"|"/cs/humirauc/ad1"|"27"|"1"|"2"|"3"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/healthy-foods-pictures"|"Lifestyle-Nutrition"|"CuSo Slideshow"|"236"|""|"0"|"252"|"11"
"79439004"|"20170703"|"/cs/humirauc/ad1"|"-1"|"1"|"3"|"3"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/manage-ulcerative-colitis-flares-pictures"|"Lifestyle-Symptom Management"|"CuSo Slideshow"|"120"|""|"0"|"252"|"8"
"79556970"|"20170703"|"/cs/humirauc/ad1"|"-1"|"1"|"42"|"10"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/travel-brookes-story"|"Lifestyle-Work/Leisure"|"CuSo Article 3.0"|"10"|""|"0"|"252"|"1"
"79626647"|"20170703"|"/cs/humirauc/ad1"|"221"|"5"|"2"|"3"|"everydayhealth"|"www.everydayhealth.com/ulcerative-colitis-pictures/ulcerative-colitis-common-mistakes.aspx"|"Condition Basics-Risks"|"CuSo Slideshow"|"0"|""|"0"|"252"|"1"
"79683965"|"20170703"|"/cs/humirauc/ad1"|"221"|"5"|"2"|"3"|"everydayhealth"|"www.everydayhealth.com/hs/ulcerative-colitis-treatment-management/vegetable-recipes-pictures"|"Lifestyle-Nutrition"|"CuSo Slideshow"|"1614"|""|"0"|"252"|"2"
